"INDICATOR_CODE","INDICATOR_NAME","SOURCE_NOTE","SOURCE_ORGANIZATION",
"ST.INT.XPND.CD","Turismo internacional, gastos (US$ a precios actuales)","El gasto de turismo internacional es el gasto efectuado en otros países por los visitantes internacionales salientes, incluidos los pagos a transportistas extranjeros por el transporte internacional. Este gasto puede incluir los gastos incurridos por los residentes que viajan al exterior en calidad de visitantes por un día, excepto en los casos donde estos son tan importantes que justifican una clasificación por separado. Para algunos países, no incluyen los gastos relativos a los artículos de transporte de pasajeros. Datos en US$ a precios actuales.","Organización Mundial del Turismo, Anuario de estadísticas de turismo, Compendio de estadísticas de turismo y archivos de datos.",
"ST.INT.TVLX.CD","Turismo internacional, gastos por artículos de viaje (US$ a precios actuales)","El gasto de turismo internacional es el gasto efectuado en otros países por los visitantes internacionales salientes. Los bienes y servicios son comprados por el viajante o en su nombre, o provistos al viajante, sin contrapartida alguna, para que éste los utilice u obsequie. Puede incluir los gastos incurridos por los residentes que viajan al exterior en calidad de visitantes por un día excepto en los casos donde estos son tan importantes que justifican una clasificación por separado. Se excluye el transporte internacional de viajantes, el cual está cubierto en los artículos relativos a viajes de pasajeros. Datos en US$ a precios actuales.","Organización Mundial del Turismo, Anuario de estadísticas de turismo, Compendio de estadísticas de turismo y archivos de datos.",
"ST.INT.TVLR.CD","Turismo internacional, recibos por artículos de viaje (US$ a precios actuales)","Los recibos por artículos de viaje del turismo internacional son los gastos realizados por los visitantes internacionales que proceden del exterior en la economía informante. Los bienes y servicios son comprados por el viajante o en su nombre, o provistos al viajante, sin contrapartida alguna, para que éste los utilice u obsequie. Estos recibos deberían incluir cualquier otro prepago efectuado por bienes o servicios recibidos en el país de destino. También pueden incluir los recibos de los visitantes por un día, excepto en los casos donde estos son tan importantes que justifican una clasificación por separado. Se excluye el transporte internacional de viajantes, el cual está cubierto en los artículos relativos a viajes de pasajeros. Datos en US$ a precios actuales.","Organización Mundial del Turismo, Anuario de estadísticas de turismo, Compendio de estadísticas de turismo y archivos de datos.",
"ST.INT.TRNX.CD","Turismo internacional, gastos por artículos para el transporte de pasajeros (US$ a precios actuales)","Los gastos por artículos para el transporte de pasajeros del turismo internacional son los gastos en otros países incurridos por los visitantes salientes en concepto de todos los servicios provistos durante el transporte internacional por transportistas no residentes. También se incluyen los servicios de pasajeros prestados dentro de una economía por transportistas no residentes. Se excluyen los servicios de pasajeros prestados a no residentes por transportistas residentes dentro de las economías residentes; estos se incluyen en los artículos de viaje. Además de los servicios cubiertos por las tarifas de pasajeros (incluidas las tarifas que forman parte de los paquetes turísticos, pero excluidas las tarifas de los cruceros, que se incluyen en “viajes”), los servicios de pasajeros incluyen artículos tales como cargos por exceso de equipaje, vehículos y demás efectos personales que los acompañan, así como los gastos en alimentos, bebidas u otros artículos por los que los pasajeros incurran en gastos a bordo de los transportistas. Datos en US$ a precios actuales.","Organización Mundial del Turismo, Anuario de estadísticas de turismo, Compendio de estadísticas de turismo y archivos de datos.",
"ST.INT.TRNR.CD","Turismo internacional, recibos por artículos para el transporte de pasajeros (US$ a precios actuales)","Los recibos por artículos para el transporte de pasajeros del turismo internacional son los gastos incurridos por los visitantes internacionales que proceden del exterior en concepto de todos los servicios de transporte internacional provistos por transportistas residentes. También se incluyen los servicios de pasajeros prestados dentro de una economía por transportistas no residentes. Se excluyen los servicios de pasajeros prestados a no residentes por transportistas residentes dentro de las economías residentes; estos se incluyen en los artículos de viaje. Además de los servicios cubiertos por las tarifas de pasajeros (incluidas las tarifas que forman parte de los paquetes turísticos, pero excluidas las tarifas de los cruceros, que se incluyen en “viajes”), los servicios de pasajeros incluyen artículos tales como cargos por exceso de equipaje, vehículos y demás efectos personales que los acompañan, así como los gastos en alimentos, bebidas u otros artículos por los que los pasajeros incurran en gastos a bordo de los transportistas. Datos en US$ a precios actuales.","Organización Mundial del Turismo, Anuario de estadísticas de turismo, Compendio de estadísticas de turismo y archivos de datos.",
"ST.INT.RCPT.XP.ZS","Turismo internacional, recibos (% del total de exportaciones)","Los recibos de turismo internacional son los gastos realizados por los visitantes que proceden del exterior, incluidos los pagos a transportistas nacionales por servicios de  transporte internacional. Estos recibos incluyen los prepagos de cualquier clase que se efectúen por bienes o servicios recibidos en el país de destino. También incluyen los recibos de visitantes por un día, excepto cuando son lo suficientemente importantes para justificar una clasificación por separado. Para algunos países, no incluyen los recibos por los rubros relativos al transporte de pasajeros. Su participación en las exportaciones se calcula como la proporción de las exportaciones de bienes y servicios, que comprenden todas aquellas transacciones entre los residentes de un país y el resto del mundo que impliquen una transferencia de propiedad de los residentes a los no residentes de mercaderías generales, bienes enviados para procesamiento y reparaciones, oro no monetario y servicios.","Organización Mundial del Turismo, Anuario de estadísticas de turismo, Compendio de estadísticas de turismo y archivos de datos, y estimaciones de exportaciones del FMI y el Banco Mundial.",
"ST.INT.RCPT.CD","Turismo internacional, recibos (US$ a precios actuales)","Los recibos de turismo internacional son los gastos realizados por los visitantes que proceden del exterior, incluidos los pagos a transportistas nacionales por servicios de  transporte internacional. Estos recibos incluyen los prepagos de cualquier clase que se efectúen por bienes o servicios recibidos en el país de destino. También incluyen los recibos de visitantes por un día, excepto cuando son lo suficientemente importantes para justificar una clasificación por separado. Para algunos países, no incluyen los recibos por los rubros relativos al transporte de pasajeros. Datos en US$ a precios actuales.","Organización Mundial del Turismo, Anuario de estadísticas de turismo, Compendio de estadísticas de turismo y archivos de datos.",
"ST.INT.DPRT","Turismo internacional, número de partidas","Los  turistas internacionales que viajan al exterior son la cantidad de partidas que realizan las personas desde su país de residencia habitual hacia cualquier otro país con cualquier fin, excepto cuando se trate de una actividad remunerada en el país visitado. Los datos sobre los turistas salientes se refieren al número de partidas, no al número de personas que viajan. Así, una persona que hace varios viajes desde un país, durante un período determinado, se cuenta cada vez como una nueva salida.","Organización Mundial del Turismo, Anuario de estadísticas de turismo, Compendio de estadísticas de turismo y archivos de datos.",
"ST.INT.ARVL","Turismo internacional, número de arribos","Los turistas internacionales que proceden del exterior (visitantes de un día para el otro) son la cantidad de turistas que viajan a un país diferente de aquel en el que residen normalmente, pero fuera de su entorno habitual, por un período no mayor a 12 meses, y cuyo propósito principal al visitarlo no es una actividad remunerada desde dentro del país visitado. Cuando no están disponibles los datos sobre la cantidad de turistas, se muestra en cambio la cantidad de visitantes, que incluye turistas, visitantes por un día, pasajeros de cruceros y miembros de las tripulaciones. Las fuentes y métodos de recolección para la información de los recién llegados difieren entre países. En algunos casos, los datos son las estadísticas de la frontera (policía, inmigración, etc.) y complementadas por las encuestas fronterizas. En otros casos, los datos provienen de establecimientos de alojamiento turístico. Para algunos países el número de arribos se limita a las llegadas por vía aérea y para otros a los hospedajes en hoteles. Algunos países incluyen los arribos de los nacionales residentes en el extranjero, mientras que otros no lo hacen. Por lo tanto, es necesario tener precaución en la comparación de las llegadas entre los países. Los datos sobre los turistas que arriban se refieren al número de llegadas, no a la cantidad de personas que viajan. Así, una persona que hace varios viajes hacia un país, durante un período determinado, se cuenta cada vez como un nuevo arribo.","Organización Mundial del Turismo, Anuario de estadísticas de turismo, Compendio de estadísticas de turismo y archivos de datos.",
"SP.UWT.TFRT","Necesidades de anticoncepción insatisfechas (% de mujeres casadas entre 15 y 49 años de edad)","Las necesidades de anticoncepción insatisfechas es el porcentaje de mujeres fértiles casadas en edad reproductiva que no quieren quedar embarazadas y no utilizan métodos anticonceptivos.","Encuestas de los hogares, incluidas las encuestas demográficas y de salud de Macro International y las encuestas de Indicadores Múltiples por Conglomerados de UNICEF.",
"SP.URB.TOTL.IN.ZS","Población urbana (% del total)","Urban population refers to people living in urban areas as defined by national statistical offices. The data are collected and smoothed by United Nations Population Division.","Naciones Unidas, Perspectivas de la urbanización mundial.",
"SP.URB.TOTL","Población urbana","Población urbana se refiere a las personas que viven en zonas urbanas según la definición de la oficina nacional de estadísticas. Se calcula utilizando las estimaciones demográficas del Banco Mundial y las proporciones urbanas de las Perspectivas de Urbanización en el Mundo de las Naciones Unidas.","Estimaciones de personal del Banco Mundial sobre la base de las  Perspectivas de la urbanización mundial de las Naciones Unidas.  ",
"SP.URB.GROW","Crecimiento de la población urbana (% anual)","Población urbana se refiere a las personas que viven en zonas urbanas según la definición de la oficina nacional de estadísticas. Se calcula utilizando las estimaciones demográficas del Banco Mundial y las proporciones urbanas de las Perspectivas de Urbanización en el Mundo de las Naciones Unidas.","Estimaciones de personal del Banco Mundial sobre la base de las  Perspectivas de la urbanización mundial de las Naciones Unidas.  ",
"SP.RUR.TOTL.ZS","Población rural (% de la población total)","Población rural se refiere a las personas que viven en zonas rurales según la definición de la oficina nacional de estadísticas. Se calcula como la diferencia entre la población total y la población urbana.","Estimaciones de personal del Banco Mundial sobre la base de las  Perspectivas de la urbanización mundial de las Naciones Unidas.  ",
"SP.RUR.TOTL.ZG","Crecimiento de la población rural (% anual)","Población rural se refiere a las personas que viven en zonas rurales según la definición de la oficina nacional de estadísticas. Se calcula como la diferencia entre la población total y la población urbana.","Estimaciones de personal del Banco Mundial sobre la base de las  Perspectivas de la urbanización mundial de las Naciones Unidas.  ",
"SP.RUR.TOTL","Población rural","Población rural se refiere a las personas que viven en zonas rurales según la definición de la oficina nacional de estadísticas. Se calcula como la diferencia entre la población total y la población urbana.","Los datos sobre las proporciones de la población urbana utilizados para estimar la población rural provienen de las Perspectivas de la urbanización mundial de las Naciones Unidas. Las cifras referidas a la población mundial son estimaciones del Banco Mundial.",
"SP.REG.DTHS.ZS","Exhaustividad del registro de muertes con información sobre causa de muerte (%)","Completeness of death registration is the estimated percentage of deaths that are registered with their cause of death information in the vital registration system of a country.","Organización Mundial de la Salud, fuentes de datos del Observatorio mundial de la salud/Estadísticas Sanitarias Mundiales (http://apps.who.int/gho/data/node.main.1?lang=en).",
"SP.REG.BRTH.ZS","Exhaustividad de registro de nacimientos (%)","La totalidad de inscripciones de nacimientos es el porcentaje de niños menores de 5 años cuyos nacimientos se registraron al momento del estudio. El numerador de la totalidad de inscripciones de nacimientos incluye niños cuyo certificado de nacimiento fue visto por el entrevistador o cuya madre o cuidador afirma que el nacimiento se registró.","UNICEF's State of the World's Children based mostly on household surveys and ministry of health data.",
"SP.REG.BRTH.UR.ZS","Exhaustividad de registro de nacimientos, urbano (%)","La totalidad de inscripciones de nacimientos es el porcentaje de niños menores de 5 años cuyos nacimientos se registraron al momento del estudio. El numerador de la totalidad de inscripciones de nacimientos incluye niños cuyo certificado de nacimiento fue visto por el entrevistador o cuya madre o cuidador afirma que el nacimiento se registró.","UNICEF's State of the World's Children based mostly on household surveys and ministry of health data.",
"SP.REG.BRTH.RU.ZS","Exhaustividad de registro de nacimientos, rural (%)","La totalidad de inscripciones de nacimientos es el porcentaje de niños menores de 5 años cuyos nacimientos se registraron al momento del estudio. El numerador de la totalidad de inscripciones de nacimientos incluye niños cuyo certificado de nacimiento fue visto por el entrevistador o cuya madre o cuidador afirma que el nacimiento se registró.","UNICEF's State of the World's Children based mostly on household surveys and ministry of health data.",
"SP.REG.BRTH.MA.ZS","","","",
"SP.REG.BRTH.FE.ZS","","","",
"SP.POP.TOTL.MA.ZS","Población, hombres (% del total)","","",
"SP.POP.TOTL.MA.IN","Población, hombres","","",
"SP.POP.TOTL.FE.ZS","Población, mujeres (% del total)","La población femenina es el porcentaje de la población que es femenina. La población se basa en la definición de facto de población.","División de Población de las Naciones Unidas. 2009. Perspectivas de la población mundial: Revisión de 2008. Nueva York, Naciones Unidas, Departamento de Asuntos Económicos y Sociales (cuadros de Excel avanzados). Disponible en: http://esa.un.org/unpd/wpp2008/index.htm.",
"SP.POP.TOTL.FE.IN","Población, mujeres","Población, mujeres","Estimaciones del Banco Mundial usando la razón de las Perspectivas de población de la Organización de Naciones Unidas y del Banco Mundial",
"SP.POP.TOTL","Población, total","Total population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship. The values shown are midyear estimates.","(1) División de Población de las Naciones Unidas. Perspectivas de la población mundial, (2) Naciones Unidas, Departamento de Asuntos Económicos y Sociales (cuadros de Excel avanzados), (3) Informes de censos y otras publicaciones de estadísticas de oficinas nacionales de estadística, (4) Eurostat: Estadísticas Demográficas, (5) Secretaría de la Comunidad del Pacífico: Programa de Estadísticas y Demografía, (6) Oficina de Censos de los Estados Unidos: Base Internacional de Datos.",
"SP.POP.TECH.RD.P6","Técnicos de investigación y desarrollo (por cada millón de personas)","Los técnicos de investigación y desarrollo y el personal equivalente son personas cuyas tareas principales exigen conocimiento técnico y experiencia en ingeniería, ciencias naturales (técnicos), o ciencias sociales y humanidades (personal equivalente). Participan en investigación y desarrollo realizando tareas científicas y técnicas que abarcan la aplicación de conceptos y métodos operativos, por lo general supervisados por investigadores.","Instituto de Estadística de la Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura (UNESCO).",
"SE.SEC.NENR.FE","Inscripción escolar, nivel secundario, mujeres (% neto) ","Tasa neta de matrícula, enseñanza secundaria, todos los programas, mujeres. Corresponde a la proporción entre el número de niñas en edad de cursar educación secundaria, matriculadas en dicho nivel de educación, y la población total de niñas en edad de cursar educación secundaria.","Instituto de Estadística de la Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura (UNESCO).",
"SE.SEC.NENR","Inscripción escolar, nivel secundario (% neto)","Tasa neta de matrícula, enseñanza secundaria, todos los programas, total. Corresponde a la proporción entre el número de estudiantes en edad de cursar educación secundaria, matriculados en dicho nivel de educación, y la población total en edad de cursar educación secundaria.","Instituto de Estadística de la Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura (UNESCO).",
"SE.SEC.ENRR.MA","Inscripción escolar, nivel secundario, varones (% bruto) ","Tasa bruta de matrícula, educación secundaria, todos los programas, varones. Corresponde al  número total de niños matriculados en educación secundaria, independientemente de su edad, expresado como porcentaje de la población total de niños en edad oficial de cursar enseñanza secundaria. La TBM puede ser superior a 100% debido a la inclusión de estudiantes mayores y menores a la edad oficial ya sea por repetir grados o por un ingreso precoz o tardío a dicho nivel de enseñanza.","Instituto de Estadística de la Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura (UNESCO).",
"SE.SEC.ENRR.FE","Inscripción escolar, nivel secundario, mujeres (% bruto) ","Tasa bruta de matrícula, educación secundaria, todos los programas, mujeres. Corresponde al número total de niñas matriculadas en educación secundaria, independientemente de su edad, expresado como porcentaje de la población total en edad oficial de cursar enseñanza secundaria. La TBM puede ser superior a 100% debido a la inclusión de estudiantes mayores y menores a la edad oficial ya sea por repetir grados o por un ingreso precoz o tardío a dicho nivel de enseñanza.","Instituto de Estadística de la Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura (UNESCO).",
"SE.SEC.ENRR","Inscripción escolar, nivel secundario (% bruto)","Tasa bruta de matrícula, enseñanza secundaria, todos los programas, total. Corresponde al número total de estudiantes matriculados en educación secundaria, independientemente de su edad, expresado como porcentaje de la población total en edad oficial de cursar la secundaria. La TBM puede ser superior a 100% debido a la inclusión de estudiantes mayores y menores a la edad oficial ya sea por repetir grados o por un ingreso precoz o tardío a dicho nivel de enseñanza.","Instituto de Estadística de la Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura (UNESCO).",
"SE.SEC.ENRL.VO.FE.ZS","Educación de nivel secundario, alumnos en programas vocacionales (% de mujeres)","Porcentaje de alumnas, educación secundaria, programas técnicos/vocacionales, total. Corresponde al número de alumnas matriculadas en programas técnicos/vocacionales de nivel secundario, expresado como porcentaje del total de estudiantes (niños y niñas) matriculados en programas técnicos/vocacionales en el nivel secundario en un año escolar determinado.","Instituto de Estadística de la Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura (UNESCO).",
"SE.SEC.ENRL.VO","Educación de nivel secundario, alumnos en programas vocacionales","Matrícula total en educación secundaria, instituciones públicas y privadas, programas técnicos/vocacionales, total. Corresponde al número total de estudiantes matriculados en programas técnicos/vocacionales en instituciones públicas y privadas de educación secundaria.","Instituto de Estadística de la Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura (UNESCO).",
"SE.SEC.ENRL.UP.TC.ZS","Relación alumno-maestro en el ciclo superior de la escuela secundaria","Upper secondary school pupil-teacher ratio is the average number of pupils per teacher in upper secondary school.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",
"SE.SEC.ENRL.TC.ZS","Proporción alumnos-maestro, nivel secundario","Proporción de alumnos por docente, educación secundaria. Corresponde al número de alumnos matriculados en educación secundaria dividido por el número de docentes en dicho nivel.","Instituto de Estadística de la Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura (UNESCO).",
"SE.SEC.ENRL.LO.TC.ZS","Relación alumno-maestro en el ciclo inferior de la escuela secundaria","Lower secondary school pupil-teacher ratio is the average number of pupils per teacher in lower secondary school.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",
"SE.SEC.ENRL.GC.FE.ZS","Educación de nivel secundario, alumnos en programas de educación general (% de mujeres)","Porcentaje de alumnas, educación secundaria, programas generales, total. Corresponde al número de alumnas matriculadas en programas generales de nivel secundario, expresado como porcentaje del total de estudiantes (niños y niñas) matriculados en programas generales en el nivel secundario en un año escolar determinado.","Instituto de Estadística de la Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura (UNESCO).",
"SE.SEC.ENRL.GC","Educación de nivel secundario, alumnos en programas de educación general","Matrícula total en educación secundaria, instituciones públicas y privadas, programas generales, total. Corresponde al número total de estudiantes matriculados en programas generales en instituciones públicas y privadas de educación secundaria.","Instituto de Estadística de la Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura (UNESCO).",
"SE.SEC.ENRL.FE.ZS","Educación de nivel secundario, alumnos (% de mujeres)","Porcentaje de alumnas., educación secundaria, todos los programas, total. Corresponde al número de alumnas matriculadas en todos los programas de nivel secundario, expresado como porcentaje del total de estudiantes (niños y niñas) matriculados en el nivel secundario en un año escolar determinado.","Instituto de Estadística de la Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura (UNESCO).",
"SE.SEC.ENRL","Educación de nivel secundario, alumnos","Matrícula total en educación secundaria, instituciones públicas y privadas, todos los programas, total. Corresponde al número total de estudiantes matriculados en instituciones públicas y privadas de educación secundaria.","Instituto de Estadística de la Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura (UNESCO).",
"SE.SEC.DURS","Educación de nivel secundario, duración (años)","Duración de educación secundaria es el número de grados (años) de los que consta la educación secundaria (niveles 2 y 3 de la CINE).","Instituto de Estadística de la Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura (UNESCO).",
